FIPS,State,County Name,RUCC
01001,AL,Autauga County,2
01003,AL,Baldwin County,2
01005,AL,Barbour County,6
01007,AL,Bibb County,6
01009,AL,Blount County,2
01011,AL,Bullock County,6
01013,AL,Butler County,7
01015,AL,Calhoun County,3
01017,AL,Chambers County,5
01019,AL,Cherokee County,8
01021,AL,Chilton County,6
01023,AL,Choctaw County,9
01025,AL,Clarke County,7
01027,AL,Clay County,9
01029,AL,Cleburne County,6
01031,AL,Coffee County,4
01033,AL,Colbert County,3
01035,AL,Conecuh County,7
01037,AL,Coosa County,8
01039,AL,Covington County,7
01041,AL,Crenshaw County,6
01043,AL,Cullman County,6
01045,AL,Dale County,3
01047,AL,Dallas County,4
01049,AL,De Kalb County,6
01051,AL,Elmore County,2
01053,AL,Escambia County,6
01055,AL,Etowah County,3
01057,AL,Fayette County,6
01059,AL,Franklin County,6
01061,AL,Geneva County,6
01063,AL,Greene County,8
01065,AL,Hale County,6
01067,AL,Henry County,6
01069,AL,Houston County,3
01071,AL,Jackson County,4
01073,AL,Jefferson County,2
01075,AL,Lamar County,7
01077,AL,Lauderdale County,3
01079,AL,Lawrence County,6
01081,AL,Lee County,4
01083,AL,Limestone County,6
01085,AL,Lowndes County,8
01087,AL,Macon County,6
01089,AL,Madison County,3
01091,AL,Marengo County,7
01093,AL,Marion County,7
01095,AL,Marshall County,4
01097,AL,Mobile County,2
01099,AL,Monroe County,7
01101,AL,Montgomery County,2
01103,AL,Morgan County,4
01105,AL,Perry County,7
01107,AL,Pickens County,6
01109,AL,Pike County,6
01111,AL,Randolph County,7
01113,AL,Russell County,3
01115,AL,St. Clair County,2
01117,AL,Shelby County,2
01119,AL,Sumter County,7
01121,AL,Talladega County,4
01123,AL,Tallapoosa County,7
01125,AL,Tuscaloosa County,3
01127,AL,Walker County,2
01129,AL,Washington County,8
01131,AL,Wilcox County,9
01133,AL,Winston County,7
02013,AK,Aleutians East Borough,9
02016,AK,Aleutian Island West Census Area,7
02020,AK,Anchorage Borough,3
02050,AK,Bethel Census Area,7
02060,AK,Bristol Bay Borough,9
02068,AK,Denali Borough,9
02070,AK,Dillingham Census Area,9
02090,AK,Fairbanks North Star Boro,5
02100,AK,Haines Borough,9
02110,AK,Juneau Borough,7
02122,AK,Kenai Peninsula Borough,6
02130,AK,Ketchikan Gateway Borough,7
02150,AK,Kodiak Island Borough,7
02164,AK,Lake And Peninsula Boroug,9
